493,1196,1260,1196,1260,1361,493,1361
173,1224,365,1224,365,1342,173,1342
465,1379,995,1379,995,1516,465,1516
191,1388,401,1388,401,1516,191,1516
3060,2421,3215,2421,3215,2585,3060,2585
2439,2430,2558,2430,2558,2558,2439,2558
2731,2430,2978,2430,2978,2558,2731,2558
319,2448,502,2448,502,2612,319,2612
3087,2567,3224,2567,3224,2813,3087,2813
2749,2576,3115,2576,3115,2813,2749,2813
2274,2813,3298,2813,3298,2969,2274,2969
310,2813,803,2813,803,3051,310,3051
314,3218,994,3262,983,3431,303,3387
2905,3919,3206,3919,3206,4056,2905,4056
